Column Name,kPB,aCH2,aT/O,aC/P,aB/P pH 7.6,aB/P pH 2.7,Type,Particle Size,TPP/SPP,Pore Size [A]
ACME IQ C18,6.4,1.5,1.41,0.43,0.27,0.12,10,3,1,120
ACME IQHL C18,10.09,1.5,1.48,0.41,0.26,0.1,10,3,1,100
ACME Plus,4.3,1.48,1.4,0.41,0.39,0.12,10,3,1,120
Acquity BEH C8,1.16,1.34,0.86,0.59,0.31,0.13,16,1.7,1,130
Acquity BEH Phenyl 1.7µm,1.64,1.3,1,0.85,0.41,0.18,30,1.7,1,130
Acquity BEH Shield RP18 1.7 µm,2.08,1.41,2.36,0.3,0.27,0.13,25,1.7,1,130
Acquity CSH C18 1.7um,3.53,1.44,1.35,0.4,0.38,0.09,10,1.7,1,130
Acquity CSH Fluorophenyl 1.7um,0.46,1,3.1,1.72,1.24,-0.06,28,1.7,1,130
Acquity CSH Phenyl hexyl 1.7um,1.47,1.31,1.13,0.7,0.42,0.07,30,1.7,1,130
Acquity HSS C18 1.8 µm,7.38,1.48,1.47,0.37,0.24,0.11,10,1.8,1,100
Acquity HSS C18 SB 1.8 µm,2.57,1.39,1.94,1.86,4.99,0.16,10,1.8,1,100
Acquity HSS T3 1.8 µm,6.02,1.5,1.19,0.5,0.34,0.12,10,1.8,1,100
Acquity UPLC BEH C18 130 1.7 µm,3.99,1.47,1.38,0.37,0.23,0.09,10,1.7,1,130
Acquity UPLC BEH C18 300 1.7 µm,1.97,1.48,1.41,0.38,0.22,0.11,10,1.7,1,300
Aeris PEPTIDE 3.6u XB-C18,4.2,1.48,1.16,0.49,0.56,0.1,10,3.6,0,100
Aeris Widepore 3.6 µm C4,0.39,1.06,0.85,0.39,0.42,0.16,15,3.6,0,200
Aeris Widepore 3.6 µm XB-C18,1.15,1.44,1.16,0.52,0.6,0.16,10,3.6,0,200
Agilent prep LC C18,8.79,1.49,1.55,0.39,0.51,0.17,10,5,1,100
